,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
4647,10270120112001F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การออกกำลังกายและการกีฬา),Double Degree - ภาษาไทย ปกติ,,Admission,46.8276,62.3888,46.35,62.3888,45.7204,46.7118,45.7204,20.0,"{'gpax': 20, 'tgat': 80}"
4648,10270120210301F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์),Double Degree - ภาษาไทย ปกติ,,Admission,49.1164,68.85,36.8664,68.85,36.2368,37.2282,36.2368,70.0,"{'gpax': 20, 'tgat': 80}"
4649,10270120210401F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี),Double Degree - ภาษาไทย ปกติ,,Admission,51.6052,60.7716,51.6052,60.7716,50.9756,51.967,50.9756,20.0,"{'gpax': 20, 'tgat': 80}"
4650,10270120210701F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา),Double Degree - ภาษาไทย ปกติ,,Admission,36.9604,68.7276,36.9604,64.294,36.3308,37.3222,36.3308,40.0,"{'gpax': 20, 'tgat': 80}"
4651,10270120212701F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์),Double Degree - ภาษาไทย ปกติ,,Admission,51.6216,59.75,51.6216,51.6216,50.992,51.9834,50.992,20.0,"{'gpax': 20, 'tgat': 80}"
4652,10270120800201F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาดนตรีและนาฏศิลป์),Double Degree - ภาษาไทย ปกติ,,Admission,46.1716,55.8388,0.0,0.0,0.0,0.0,0.0,20.0,"{'gpax': 20, 'tgat': 80}"
4653,10270120901801F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน),Double Degree - ภาษาไทย ปกติ,,Admission,44.2276,62.5052,44.2276,62.5052,43.598,44.5894,43.598,20.0,"{'gpax': 20, 'tgat': 80}"
4654,10270120902001F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาไทย),Double Degree - ภาษาไทย ปกติ,,Admission,57.8164,67.4276,57.1388,67.4276,56.5092,57.5006,56.5092,30.0,"{'gpax': 20, 'tgat': 80}"
4655,10270120902501F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ),Double Degree - ภาษาไทย ปกติ,,Admission,50.1052,67.0,15.25,66.65,14.6204,15.6118,14.6204,70.0,"{'gpax': 20, 'tgat': 80}"
4656,10270120903601F,A0001,0,การจัดการศึกษาหลักสูตรควบระดับปริญญาตรี 2 ปริญญา (หลักสูตรการศึกษาบัณฑิต สาขาวิชาการศึกษา และหลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาพัฒนาสังคม),Double Degree - ภาษาไทย ปกติ,,Admission,45.1,71.0276,43.0328,64.4052,42.4032,43.3946,42.4032,30.0,"{'gpax': 20, 'tgat': 80}"
